127.0.0.1, 2021-01-27 09:58:54, GET, /, HTTP/1.1, 303, 0.002001
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.341584
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-01-27 09:58:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2021-01-27 09:58:55, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/default/index, HTTP/1.1, 200, 0.269412
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.007002
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.007001
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.011003
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.010002
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.008002
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/js/calendar.js, HTTP/1.1, 200, 0.020004
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006002
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.023006
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005001
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005001
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.034008
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.008002
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.013002
127.0.0.1, 2021-01-27 09:59:12, GET, /admin/static/_2.21.1/images/questions.png, HTTP/1.1, 200, 0.003001
127.0.0.1, 2021-01-27 09:59:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-27 09:59:16, POST, /admin/default/index, HTTP/1.1, 303, 0.010003
127.0.0.1, 2021-01-27 09:59:16, GET, /admin/default/site, HTTP/1.1, 200, 0.037009
127.0.0.1, 2021-01-27 09:59:16, GET, /admin/static/_2.21.1/images/folder_locked.png, HTTP/1.1, 200, 0.004001
127.0.0.1, 2021-01-27 09:59:16, GET, /admin/static/_2.21.1/images/folder.png, HTTP/1.1, 200, 0.004001
127.0.0.1, 2021-01-27 09:59:16, GET, /admin/static/_2.21.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2021-01-27 09:59:16, POST, /admin/default/check_version, HTTP/1.1, 200, 0.194975
127.0.0.1, 2021-01-27 09:59:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2021-01-27 09:59:26, POST, /admin/default/site, HTTP/1.1, 303, 0.375901
127.0.0.1, 2021-01-27 09:59:26, GET, /admin/default/design/Dipmelsa, HTTP/1.1, 200, 0.085019
127.0.0.1, 2021-01-27 09:59:26, GET, /admin/static/_2.21.1/images/search.png, HTTP/1.1, 200, 0.006001
127.0.0.1, 2021-01-27 09:59:26, GET, /admin/static/_2.21.1/images/help.png, HTTP/1.1, 200, 0.006001
